;numTarMovMes;establecimiento;nroAut;planCuot;numCuot;cuotas;AjusteCuota1STD;moneda;importe;codPais;importeOrig;binBancoPagador;nombreComercio;TjCodBanco;numTarMov2000;planGob;token;numToken;posDataCode;visaRelease;tipoTarjeta;campoBCRA;diasPago
0;3739531923510040;0051999894;00840739;00;00;  ;   ;ARP;105000.0;AR;00000010500000;988010;ALMACEN MANOLO       ;557;3739531923510040 ; ; ;                ;501101154308 ; ;1;  ;14
1;3739531923510040;0051999894;00100021;00;00;  ;   ;ARP;105000.0;AR;00000010500000;988010;ALMACEN MANOLO       ;557;3739531923510040 ; ; ;                ;501101154308 ; ;1;  ;14
2;3739531923510040;0051999894;00602588;00;00;  ;   ;ARP;10.0;AR;00000000001000;988010;ALMACEN MANOLO       ;557;3739531923510040 ; ; ;                ;501101154308 ; ;1;  ;14
3;3742450017410070;0051999894;00877057;00;00;  ;   ;ARP;12.01;AR;00000000001201;988010;ALMACEN MANOLO       ;557;3742450017410070 ; ; ;                ;51110X501308 ; ;1;  ;14
4;3742450017410070;0051999894;00573621;00;00;  ;   ;ARP;30.0;AR;00000000003000;988010;ALMACEN MANOLO       ;557;3742450017410070 ; ; ;                ;511101501308 ; ;1;  ;14
5;3742450017410070;0051999894;00633325;00;00;03;   ;ARP;30.0;AR;00000000003000;988010;ALMACEN MANOLO       ;557;3742450017410070 ; ; ;                ;511101501308 ; ;1;  ;02
6;3742450017410070;0051999894;00869959;00;00;03;   ;ARP;12.01;AR;00000000001201;988010;ALMACEN MANOLO       ;557;3742450017410070 ; ; ;                ;51110X501308 ; ;1;  ;02
7;3739531923510040;0051999894;00522896;00;00;05;   ;ARP;10.0;AR;00000000001000;988010;ALMACEN MANOLO       ;557;3739531923510040 ; ; ;                ;501101154308 ; ;1;  ;02
8;3739531923510040;0051999894;00040232;00;00;04;   ;ARP;110000.0;AR;00000011000000;988010;ALMACEN MANOLO       ;557;3739531923510040 ; ; ;                ;501101154308 ; ;1;  ;02
9;3739531923510040;0051999894;00770616;00;00;04;   ;ARP;110000.0;AR;00000011000000;988010;ALMACEN MANOLO       ;557;3739531923510040 ; ; ;                ;501101154308 ; ;1;  ;02
10;3739531923510040;0051999894;00044669;00;00;  ;ACE;ARP;105000.0;AR;00000000000000;988010;ALMACEN MANOLO       ;557;3739531923510040 ; ; ;                ;0000S0S00000 ; ;1;  ;14
11;3739531923510040;0051999894;00044671;04;00;00;ACE;ARP;110000.0;AR;00000000000000;988010;ALMACEN MANOLO    98-;557;3739531923510040 ; ; ;                ;0000S0S00000 ; ;1;  ;02
12;3739531923510040;0051999894;00045686;00;00;  ;ACE;ARP;10.0;AR;00000000000000;988010;ALMACEN MANOLO       ;557;3739531923510040 ; ; ;                ;0000S0S00000 ; ;1;  ;14
13;3739531923510040;0051999894;00045688;05;00;00;ACE;ARP;10.0;AR;00000000000000;988010;ALMACEN MANOLO    98-;557;3739531923510040 ; ; ;                ;0000S0S00000 ; ;1;  ;02
14;3742450017410070;0051999894;00045869;00;00;  ;ACE;ARP;12.01;AR;00000000000000;988010;ALMACEN MANOLO       ;557;3742450017410070 ; ; ;                ;0100S0S00000 ; ;1;  ;14
15;3742450017410070;0051999894;00045871;03;00;00;ACE;ARP;12.01;AR;00000000000000;988010;ALMACEN MANOLO    98-;557;3742450017410070 ; ; ;                ;0100S0S00000 ; ;1;  ;02
16;3742450017410070;0051999894;00047672;00;00;  ;ACE;ARP;30.0;AR;00000000000000;988010;ALMACEN MANOLO       ;557;3742450017410070 ; ; ;                ;0100S0S00000 ; ;1;  ;14
17;3742450017410070;0051999894;00047674;03;00;00;ACE;ARP;30.0;AR;00000000000000;988010;ALMACEN MANOLO    98-;557;3742450017410070 ; ; ;                ;0100S0S00000 ; ;1;  ;02
