;establecimiento;Tipo;MkOffLine;MkBanda;Tarjeta;Libre1;NCupon;Dia;Mes;Anio;Libre2;Autoriz;Importe;Cuotas;TNABco;Ramo;MConver;Te1;TelOrig;TelDes;TelTpo
0;0003659307;; ; ;4865720000256593; ;00000028;30;09;21;  ;006994;000000000001000;  ;     ;        ;  ;   ;          ;                ;    
1;0003659307;; ; ;4865720000256593; ;00000015;30;09;21;  ;007611;000000000016000;04;     ;        ;  ;   ;          ;                ;    
2;0003659307;; ; ;4865720000256577; ;00000046;30;09;21;  ;006985;000000000034000;05;     ;        ;  ;   ;          ;                ;    
3;0003659307;; ; ;4865720000256593; ;00000028;30;09;21;  ;006994;000000000024000;04;     ;        ;  ;   ;          ;                ;    
4;0013659307;; ; ;4487790000000042; ;00000011;30;09;21;  ;074003;000000000050000;  ;     ;        ;  ;   ;          ;                ;    
5;0013659307;; ; ;4487790000000042; ;00000012;30;09;21;  ;080573;000000000050000;  ;     ;        ;  ;   ;          ;                ;    
6;0013659307;; ; ;4487790000000026; ;00003357;30;09;21;  ;010730;000000000005558;  ;     ;        ;  ;   ;          ;                ;    
7;0013659307;; ; ;4487790000000026; ;00000044;30;09;21;  ;013453;000000000009800;  ;     ;        ;  ;   ;          ;                ;    
8;0013659307;; ; ;4487790000000026; ;00000047;30;09;21;  ;012574;000000000008500;  ;     ;        ;  ;   ;          ;                ;    
9;0013659307;; ; ;4487790000000026; ;00000052;30;09;21;  ;010972;000000000006300;  ;     ;        ;  ;   ;          ;                ;    
10;0013659307;; ; ;4487790000000026; ;00000057;30;09;21;  ;014954;000000000009880;  ;     ;        ;  ;   ;          ;                ;    
11;0032787574;; ; ;4865720000256593; ;00000003;15;10;21;  ;007419;000000000002000;  ;     ;        ;  ;   ;          ;                ;    
12;0032787574;; ; ;4865720000256593; ;00000003;30;10;21;  ;007419;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
13;0032787574;; ; ;4865720000256593; ;00000003;15;11;21;  ;007419;000000000003000;  ;     ;        ;  ;   ;          ;                ;    
14;0032787574;; ; ;4865720000256593; ;00000005;30;10;21;  ;009513;000000000001000;  ;     ;        ;  ;   ;          ;                ;    
15;0032787574;; ; ;4865720000256593; ;00000005;30;11;21;  ;009513;000000000003000;  ;     ;        ;  ;   ;          ;                ;    
16;0032787574;; ; ;4865720000256593; ;00000005;30;12;21;  ;009513;000000000007000;  ;     ;        ;  ;   ;          ;                ;    
17;0032787574;; ; ;4865720000256593; ;00000009;10;10;21;  ;006980;000000000002600;  ;     ;        ;  ;   ;          ;                ;    
